date,cash,position_value,nav
2025-07-24,93854.5355,27784.2781,121638.8136
2025-07-25,93854.5355,27938.3814,121792.9169
2025-07-28,81805.5719,39927.363,121732.9349
2025-07-29,81805.5719,39574.2366,121379.8085
2025-07-30,81805.5719,39521.6628,121327.2347
2025-07-31,93131.758,27909.3893,121041.1473
2025-08-01,107475.8535,12127.6243,119603.4778
2025-08-04,95627.8328,24163.9278,119791.7606
2025-08-05,95627.8328,23636.7282,119264.5609
2025-08-06,108229.1289,11997.9869,120227.1158
2025-08-07,108229.1289,12081.1102,120310.2391
2025-08-08,108229.1289,12129.2341,120358.363
2025-08-11,108229.1289,12086.6782,120315.8071
2025-08-12,96273.0432,24371.2412,120644.2844
2025-08-13,96273.0432,24171.3943,120444.4375
2025-08-14,96273.0432,24123.5062,120396.5493
2025-08-15,84528.0457,35535.8516,120063.8973
2025-08-18,84528.0457,35697.2439,120225.2897
2025-08-19,84528.0457,34883.4889,119411.5346
2025-08-20,84528.0457,34331.192,118859.2377
2025-08-21,107382.5382,11319.45,118701.9882
2025-08-22,107382.5382,11670.84,119053.3782
2025-08-25,107382.5382,11624.94,119007.4782
2025-08-26,107382.5382,11664.21,119046.7482
2025-08-27,107382.5382,11685.12,119067.6582
2025-08-28,107382.5382,11811.6,119194.1382
2025-08-29,107382.5382,11679.0,119061.5382
2025-09-02,107382.5382,11492.34,118874.8782
2025-09-03,107382.5382,11525.49,118908.0282
2025-09-04,95198.8842,23868.23,119067.1142
2025-09-05,95198.8842,24128.23,119327.1142
2025-09-08,83442.8193,35916.7537,119359.573
2025-09-09,83442.8193,36236.6316,119679.4509
2025-09-10,83442.8193,36315.0224,119757.8417
2025-09-11,83442.8193,36958.5226,120401.3419
2025-09-12,83442.8193,37836.2623,121279.0817
2025-09-15,83442.8193,38594.6113,122037.4306
2025-09-16,83442.8193,39205.2425,122648.0618
2025-09-17,83442.8193,39264.5662,122707.3855
2025-09-18,71312.383,51367.8578,122680.2408
2025-09-19,71312.383,51552.9768,122865.3598
2025-09-22,71312.383,52490.8335,123803.2165
2025-09-23,82740.6035,40712.99,123453.5935
2025-09-24,82740.6035,41109.6715,123850.275
2025-09-25,82740.6035,40286.9798,123027.5833
2025-09-26,82740.6035,40759.2683,123499.8718
2025-09-29,82740.6035,41103.9237,123844.5272
2025-09-30,82740.6035,41772.4412,124513.0447
2025-10-01,82740.6035,42772.1731,125512.7766
2025-10-02,98250.924,26787.7225,125038.6465
2025-10-03,98250.924,26894.9007,125145.8247
2025-10-06,98250.924,27238.8705,125489.7945
2025-10-07,98250.924,26804.7506,125055.6746
2025-10-08,98250.924,27586.3924,125837.3164
2025-10-09,98250.924,27603.5704,125854.4945
2025-10-10,112485.8115,12636.6523,125122.4639
2025-10-13,100276.7811,25427.2267,125704.0079
2025-10-14,100276.7811,24417.0889,124693.8701
2025-10-15,100276.7811,24654.2827,124931.0638
2025-10-16,112704.1067,12345.6804,125049.7871
2025-10-17,112704.1067,12177.6551,124881.7618
2025-10-20,100209.1358,24611.4315,124820.5674
2025-10-21,100209.1358,24248.785,124457.9208
2025-10-22,100209.1358,23931.3126,124140.4485
2025-10-23,100209.1358,24147.691,124356.8268
