date,cash,position_value,nav
2023-03-31,81059.9789,23378.5299,104438.5088
2023-04-03,81059.9789,23425.7556,104485.7345
2023-04-04,81059.9789,23164.3588,104224.3377
2023-04-05,81059.9789,22843.9714,103903.9503
2023-04-06,81059.9789,23003.4747,104063.4536
2023-04-10,81059.9789,23183.6074,104243.5863
2023-04-11,81059.9789,22822.3505,103882.3293
2023-04-12,81059.9789,22558.8186,103618.7975
2023-04-13,81059.9789,22785.4203,103845.3992
2023-04-14,81059.9789,22742.7986,103802.7775
2023-04-17,81059.9789,22975.2006,104035.1794
2023-04-18,81059.9789,23242.3019,104302.2808
2023-04-19,81059.9789,23356.7592,104416.738
2023-04-20,81059.9789,23005.8962,104065.875
2023-04-21,81059.9789,23001.088,104061.0669
2023-04-24,81059.9789,22895.9736,103955.9524
2023-04-25,81059.9789,22335.1748,103395.1536
2023-04-26,87808.4092,16247.0372,104055.4464
2023-04-27,81342.67,23157.4065,104500.0765
2023-04-28,81342.67,23129.9954,104472.6654
2023-05-01,81342.67,23274.3193,104616.9893
2023-05-02,81342.67,23130.472,104473.142
2023-05-03,81342.67,22970.0927,104312.7627
2023-05-04,81342.67,22935.1366,104277.8066
2023-05-05,81342.67,23537.4452,104880.1152
2023-05-08,81342.67,23657.3235,104999.9935
2023-05-09,81342.67,23469.8072,104812.4772
2023-05-10,81342.67,23918.8166,105261.4866
2023-05-11,81342.67,23881.5443,105224.2143
2023-05-12,81342.67,23658.6665,105001.3365
2023-05-15,81342.67,23932.7931,105275.4631
2023-05-16,81342.67,24207.6368,105550.3068
2023-05-17,73397.2249,32690.2525,106087.4775
2023-05-18,73397.2249,33710.5679,107107.7929
2023-05-19,73397.2249,33505.8622,106903.0871
2023-05-22,73397.2249,33424.2989,106821.5238
2023-05-23,73397.2249,33213.1376,106610.3625
2023-05-24,73397.2249,33149.5519,106546.7768
2023-05-25,65673.1244,44163.6454,109836.7698
2023-05-26,65673.1244,46154.0499,111827.1743
2023-05-30,65673.1244,46389.2399,112062.3642
2023-05-31,65673.1244,45287.5524,110960.6768
2023-06-01,65673.1244,45972.2726,111645.397
2023-06-02,58483.5681,53316.882,111800.4502
2023-06-05,58483.5681,53275.2249,111758.7931
2023-06-06,58483.5681,53233.7637,111717.3319
2023-06-07,58483.5681,52440.3356,110923.9037
2023-06-08,58483.5681,53467.8025,111951.3706
2023-06-09,58483.5681,54082.1473,112565.7154
2023-06-12,58483.5681,55752.9104,114236.4786
2023-06-13,58483.5681,56556.7296,115040.2977
2023-06-14,58483.5681,57687.7626,116171.3307
2023-06-15,58483.5681,57676.0873,116159.6555
2023-06-16,58483.5681,57371.7882,115855.3564
2023-06-20,58483.5681,58072.046,116555.6141
2023-06-21,58483.5681,56782.6852,115266.2533
2023-06-22,58483.5681,57466.2057,115949.7738
2023-06-23,58483.5681,56423.5138,114907.082
2023-06-26,58483.5681,54959.3995,113442.9676
2023-06-27,58483.5681,56413.46,114897.0281
2023-06-28,58483.5681,56285.7038,114769.2719
2023-06-29,58483.5681,56296.8653,114780.4335
2023-06-30,58483.5681,57297.0312,115780.5993
2023-07-03,58483.5681,58140.394,116623.9621
2023-07-05,58483.5681,57865.9073,116349.4755
